,Model,MENLI_x_BERT,MENLI_x_Mover
0,BERT,"[0.5994552348959438, 0.3779900111924206, 0.1922272682308311, 0.4296323236144704, 0.3655578607522974, 0.4347097434820735, 0.1764413437998163, 0.4737816542378725, 0.5128664649775302, 0.6257930066201896, 0.4867493727916425, 0.4083287409640285, 0.244603829927515, 0.3422352083527125, 0.4093811958694038, 0.3842653261119566, 0.4336002058400883, 0.3642254531391187, 0.3421463276411502, 0.3123154903359779, 0.3813282171286201, 0.2828292888430431, 0.545040497534022, 0.224849685970131, 0.5463171070769067, 0.2901936019718907, 0.2988605371163893, 0.3795667882905894, 0.4230870257110812, 0.3541508622586934, 0.4261069265467865, 0.0350258721728634, 0.3603262505350411, 0.3094683083738577, 0.2032365256108545, 0.3984107790120878, 0.388556949204935, 0.3186297454586781, 0.5498741577708316, 0.3576480837164846, 0.4055103356319899, 0.2239533112947149, 0.1792893205269317, 0.276805311832164, 0.0146862650321421, 0.2982034790213509, 0.4175905451317218, 0.3120163633846466, 0.0714591724127396, 0.2532944627602523, 0.4983559733783506, 0.325291324353253, 0.7012730762655721, 0.290191055074136, 0.3391586603973253, 0.4258036940658743, 0.4390968299951044, 0.4617152555118654, 0.3261305333778525, 0.4251899974625634, 0.3310294676011246, 0.403969028916126, 0.3747866840069853, 0.1401452887529941, 0.2950530639260509, 0.340697375885554, 0.4315262604758333, 0.3268142232342899, 0.5699471164719201, 0.4052611642226966, 0.4428859401515558, 0.333265875825352, 0.3308329802071466, 0.4227322727258746, 0.361579201683714, 0.2197224684995202, 0.4368864608903765, 0.1918734068769088, 0.2760467178774198, 0.5442692150417908, 0.4051032050239364, 0.5890700031155377, 0.7001114864459599, 0.5562440283019361, 0.416914322921636, 0.3844647644902357, 0.2818660683028344, 0.5223200866297504, 0.2996931393021261, 0.3157048442762226, 0.485592801652122, 0.3582622655037104, 0.1367621507643906, 0.4701179864119122, 0.4897782470335147, 0.44208611779326]","[0.5193093402782197, 0.3856358816732065, 0.237150914229398, 0.385363220959592, 0.2835106622546324, 0.4173196516607834, 0.2999020059460079, 0.5239504962955539, 0.4352480151261803, 0.3676787082197922, 0.3474702209178962, 0.4887000602839875, 0.2218415729256911, 0.3267676451821961, 0.3246244600943692, 0.4785933662242691, 0.5064480041223772, 0.109933353449914, 0.3073494018955932, 0.266227877275815, 0.4978826551253074, 0.3620347900878296, 0.235604344089878, 0.3133252974474133, 0.7425132549272281, 0.3451176471036447, 0.3214154218617979, 0.4316709442340484, 0.4207441831907553, 0.1163679829145586, 0.5186421889932059, 0.3289906837478993, 0.3533112121504487, 0.3187869224972798, 0.298250025136103, 0.6044058492464, 0.3880617231214571, 0.3814893587995707, 0.6688721185190359, 0.2291498595683556, 0.4579005503239048, 0.234812680814993, 0.3454055677626917, 0.2399176447788647, 0.2418241875333688, 0.4869190594271379, 0.536012145910542, 0.3675905290788328, 0.3519258075920869, 0.4679749306485979, 0.6302207791078573, 0.2525316161624248, 0.8226088404766465, 0.2738038822626258, 0.2687749282378072, 0.3742802415621828, 0.516544590684192, 0.1816059036152061, 0.4009456050619744, 0.3979008916787086, 0.2800591761294982, 0.3270131118008955, 0.2621678861600173, 0.2843943136228778, 0.2759561413491751, 0.3228404226704831, 0.5137078380896577, 0.3277660766169283, 0.6161977878775109, 0.3354967506436038, 0.4341688801844064, 0.4960923259307461, 0.3602134358935997, 0.3088749137665142, 0.2778313900196442, 0.233021064148228, 0.2838183956012768, 0.0020975729121697, 0.2578396878229704, 0.5605534003049102, 0.3512313127007496, 0.8339996485531668, 0.7001114864459599, 0.3665341023965154, 0.4600946110137753, 0.2384776966978473, 0.2613416479869427, 0.5212903134560462, 0.2691296609797562, 0.202800555092966, 0.4360363299328899, 0.1671274706539418, 0.4651235849075993, 0.3940659068406448, 0.5242706357183772, 0.6624628959085451]"
1,CTRL,"[0.336909859456308, 0.4067852346327789, 0.2948168860549024, 0.4052165502441777, 0.4041818098178885, 0.3031070129433841, 0.309661698573073, 0.3674014472929212, 0.6473677816364308, 0.4808487789301027, 0.3851366953749416, 0.3380629194257672, 0.2316210410946778, 0.5051472370366012, 0.3697672291079479, 0.3063644982586243, 0.4156116382299458, 0.3994375782732475, 0.2855767668037009, 0.4223358195220681, 0.1332593261516436, 0.396782552435957, 0.4753502260146812, 0.0778037714989822, 0.3526015801489861, 0.2413793218994651, 0.2785327969477126, 0.3004626476457849, 0.2697938967683204, 0.2787984358142617, 0.0459172190096846, 0.255912358990256, 0.3044021107091845, 0.2684111198041911, 0.305943972123415, 0.3891459298104171, 0.3720472183851606, 0.3924809219128439, 0.20690270025605, 0.4521632065337409, 0.275379612396446, 0.3986488612166274, 0.1822559511269154, 0.1340320017931486, 0.3394435789364264, 0.2245261054597616, 0.4736057034131397, 0.1307436733106879, 0.2948648088984041, 0.2712907227908017, 0.3176672136596498, 0.2502117089691885, 0.2045372250442588, 0.3395748377726918, 0.2757401391837697, 0.2912226567664661, 0.3057121035029491, 0.3661593214679552, 0.5124664800594684, 0.3064359095252232, 0.2894967805761065, 0.3879012665106746, 0.4510794922919198, 0.2538362555845523, 0.3084166242243131, 0.2581229067462007, 0.4952535993458252, 0.3126909139108875, 0.2614881065328737, 0.5163651862233106, 0.3574720154179337, 0.2925886705909463, 0.3800995003690848, 0.4411224328580083, 0.4826836031559713, 0.2039805529923211, 0.3369090448142413, 0.5027211915744512, 0.0013403048511044, 0.259322651961559, 0.3921684028257977, 0.4559797946833459, 0.5587617944387075, 0.7005351042061866, 0.2769488936357546, 0.1096054106007822, 0.3440916710245194, 0.3368363550596031, 0.3130357562959773, 0.3001622998333893, 0.278133897453276, 0.4889613521841158, 0.1942070076770823, 0.3345264438579501, 0.4286672564194437, 0.1224281586684084]","[0.3158348839666508, 0.4816978122766117, 0.3887145367707236, 0.495343400107988, 0.223215219612517, 0.2891410592702231, 0.2619194410859858, 0.4519002559922768, 0.7526131083690271, 0.387078059865353, 0.3827830645887891, 0.4592327185919121, 0.2858486565405102, 0.5843300980380487, 0.3592267773035492, 0.4448224835197655, 0.3579462080832948, 0.3908736625925155, 0.3990644240638706, 0.3781684133001777, 0.1991083495418595, 0.5802595114159479, 0.2040262094811873, 0.2316836900089821, 0.5067847819442656, 0.3824235195729108, 0.2493895562099173, 0.3618087830712478, 0.5732824247852684, 0.0053173417646167, 0.1674850175873917, 0.2859117522799545, 0.3709954795628918, 0.3317320530686619, 0.1535173178772967, 0.5244377377769064, 0.3761022956342894, 0.3720023466612669, 0.3243329166224152, 0.5171560378915139, 0.427102321272542, 0.331784600665707, 0.1625151630963973, 0.0516456549680237, 0.277649118145066, 0.4551891022599132, 0.5024138966236928, 0.2985572416467595, 0.2576911359551474, 0.7077702932774149, 0.5519179006754162, 0.393729717243112, 0.2182324518063763, 0.2632325394823193, 0.4644302110757676, 0.3829921881721415, 0.4805894295910647, 0.3392318003652378, 0.6287503000318957, 0.4264708131403463, 0.2492452248267394, 0.3283371780971671, 0.4227106139609178, 0.2286525626446007, 0.3422238408606574, 0.0367297109140691, 0.5785772993376964, 0.3819862882281714, 0.5041808447006126, 0.3264882731335052, 0.3517610064640334, 0.4948669291820308, 0.5389165039339977, 0.3694163780862775, 0.5631797908372044, 0.2598891624563619, 0.1577971104016119, 0.75921873952147, 0.138780955699837, 0.365176755673231, 0.4360448645189448, 0.5811586760162056, 0.5169287585229472, 0.6694477636779522, 0.4718344545331733, 0.3092184504448971, 0.569267011673579, 0.4178369033255389, 0.4625964738948404, 0.3782147103443123, 0.212798359686767, 0.4375824130033985, 0.4244252610156699, 0.1219133394732399, 0.4259197495753503, 0.3355226701010239]"
2,Fusion,"[0.4128904916609615, 0.535044518123396, 0.2237554168633818, 0.3081027122188799, 0.508545063686254, 0.3654566006011422, 0.2248859214425775, 0.5142380990866665, 0.2639296697138489, 0.457344075046641, 0.3857612648233322, 0.2866547828639854, 0.2952974730120269, 0.4379407440523464, 0.4304961730190378, 0.2732379093727597, 0.2862272999159289, 0.3064883302400483, 0.319136669789488, 0.4406740411024583, 0.4515358686184897, 0.3748979561939282, 0.7005683846866959, 0.1950750676443517, 0.3339154663604398, 0.2908530350384936, 0.3037246495165562, 0.4703932909239612, 0.4044811717833976, 0.2904985431982139, 0.4787287923807988, 0.4201263475770102, 0.3974602961456948, 0.4720682702513464, 0.0701413669334898, 0.213692860124728, 0.3704321577105881, 0.3903386551385184, 0.4225597647806404, 0.288150960212599, 0.4028020019014166, 0.2776984636764367, 0.3026786226336239, 0.1832623430051069, 0.5028244013896697, 0.1733569762092812, 0.3840251532515736, 0.1911465173641634, 0.4980544156247005, 0.1432250162485916, 0.3353130862314086, 0.3437833131832234, 0.3714035170064952, 0.2895854949918675, 0.294983816873931, 0.3821436454852712, 0.3824127217162876, 0.4913895715905848, 0.4738237299738648, 0.2291914473296126, 0.2503776527713211, 0.3542077891424579, 0.3103923430869104, 0.0031904109037829, 0.3536094807613026, 0.4759084216058423, 0.1796893284185969, 0.233708762979492, 0.4239919655006615, 0.351528371707228, 0.4614648416265979, 0.2763905003294293, 0.3553890183355352, 0.573002961552088, 0.3551779353916184, 0.5769421109834123, 0.4489251173917617, 0.2341833929012051, 0.1130180036844069, 0.3166657239751225, 0.3056964744712756, 0.2850865521189887, 0.3378797557863843, 0.5212725970184493, 0.2732414259457925, 0.3831964534844957, 0.2555539551842011, 0.3523865017807003, 0.5012571588857027, 0.2686556679054043, 0.3435051984040634, 0.1829750411067114, 0.1842017137854014, 0.4203562350445424, 0.6890142748024213, 0.1929350890644889]","[0.5131638469337398, 0.68021045525526, 0.2077937860720877, 0.3432111593728222, 0.50516978902123, 0.453597857471183, 0.2080629557508575, 0.4217980946506029, 0.4342570442482846, 0.3436848463926765, 0.3378349446727822, 0.2771496673085011, 0.4411680372553581, 0.4895036088993145, 0.3684837151621865, 0.4890438375929945, 0.4041546490323882, 0.2243921648357101, 0.4085581038248326, 0.3561858897052962, 0.259177633616927, 0.516471942838064, 0.7005683846866959, 0.2300627829338757, 0.5445885578135079, 0.4504421153142012, 0.3506667714535785, 0.5090788570584993, 0.3995479057593815, 0.0296687507374897, 0.6216730070282512, 0.5387248851068873, 0.5199774049173518, 0.5087282122701502, 0.3050937605995037, 0.2287806528186081, 0.5896527162885427, 0.3243320435072901, 0.2869461598019029, 0.3219353399589337, 0.4052682449682216, 0.5232676635077875, 0.3155500044816869, 0.2706108058033333, 0.4439129651615606, 0.1370367070978859, 0.5882234229552968, 0.2274800789360621, 0.6334202415508358, 0.4400987271191308, 0.3604749990495347, 0.2463512155458831, 0.4609663296551221, 0.2235743175609738, 0.2744414268851828, 0.4422244306579891, 0.5579412688601908, 0.421393490578151, 0.6816016763794613, 0.1550575587895983, 0.3627956898684223, 0.2687045487319622, 0.2708872012789297, 0.2290548159630947, 0.4307942681198395, 0.4186699121729308, 0.3326409137923807, 0.3987955302629294, 0.4984392031290613, 0.2829983932040432, 0.557157437296903, 0.4007348145257662, 0.3989345478244988, 0.6160014080150182, 0.3792519457447376, 0.6055983655606592, 0.4245556134107806, 0.3954721941855935, 0.3228538074738688, 0.3197688742606711, 0.3550770480887321, 0.471486897305245, 0.2781071991049845, 0.4807638921206595, 0.2417310181268628, 0.4200153287103548, 0.2178467339814331, 0.4878273156178095, 0.4154815532502117, 0.1466682934969738, 0.2259266529973521, 0.1584377240417282, 0.4241223668691355, 0.3491461747792563, 0.8226341434214677, 0.5291975785339162]"
3,GPT2,"[0.5240730654298402, 0.5473808429832852, 0.417792657681624, 0.476227159197694, 0.6249268034970072, 0.6806936261254506, 0.0010349391888231, 0.5743524555761698, 0.5962781418395713, 0.6153974463814919, 0.4712275771634104, 0.346721575752068, 0.3692152511902507, 0.831063895982681, 0.6046219278769152, 0.3719417969113164, 0.4741433184510538, 0.2509199755760429, 0.3490599510228633, 0.6025846127467733, 0.4500175823911608, 0.395510911625904, 0.5359056834520898, 0.1720388022047045, 0.4038556772721886, 0.4828519698188853, 0.3228903916724788, 0.3998049281335633, 0.2883668187730751, 0.4006536115226472, 0.5425850695750039, 0.5689218525220067, 0.5003957435054984, 0.358884031216006, 0.6001162373662082, 0.3424655030108949, 0.2868644825501155, 0.3254545830431514, 0.5091596327247534, 0.338895861680751, 0.3668074674498615, 0.224547163086688, 0.1592985559128737, 0.2890981859471773, 0.6918193614619577, 0.3499922456550615, 0.5733961324135732, 0.0678457780966108, 0.5107250502847581, 0.2205571155918154, 0.5710447092496053, 0.3077870694926373, 0.4750709693166375, 0.2996571035278843, 0.5847256554072299, 0.3216999616905388, 0.354577454514933, 0.4838669685102885, 0.7003655052830468, 0.4809908384983646, 0.2085075288934963, 0.4532525328026714, 0.6327056429442497, 0.0427984876126965, 0.5206409415440015, 0.5265129009671128, 0.4933695983950296, 0.1757006927679838, 0.4846616720954278, 0.4987112730424735, 0.6225384808396529, 0.3883136608140337, 0.7189206464110239, 0.649164131938326, 0.308756497404572, 0.2218771071259192, 0.4876388428583945, 0.2330776179389424, 0.2281844937317302, 0.5880810774770633, 0.5885714169851239, 0.5807544152117071, 0.7630746456133851, 0.6444154599129515, 0.4874582069037847, 0.6704546596400653, 0.3890568475609951, 0.4246302972461819, 0.49161116563797, 0.6432088266039752, 0.3259544465275413, 0.3455850538127947, 0.0053475036754857, 0.6957527497602969, 0.4636958360492537, 0.3420296209945265]","[0.3293455298961715, 0.5485688033636286, 0.4368396738198372, 0.5280771221199223, 0.2438386431077746, 0.5141879980242252, 0.2734937425922046, 0.4022640882554232, 0.5909524040057003, 0.2811888850295659, 0.2901103765338025, 0.245220609050109, 0.2853335226013764, 0.796225061053628, 0.2417262981135369, 0.5184959075558611, 0.4584895887405028, 0.098080751364635, 0.3107861317399747, 0.456325597184532, 0.5017599388213421, 0.0601161102637462, 0.2062336214952234, 0.1959656827727691, 0.4497217096928453, 0.5797694643917753, 0.2429578774632742, 0.2743711959113269, 0.4439973445411769, 0.1141074966465864, 0.5184293661577072, 0.4777643712323036, 0.4948676742995122, 0.3593262306376059, 0.4949479815548339, 0.0912672024752929, 0.2838728761698902, 0.2927183930465732, 0.4210140730844773, 0.2806133015546543, 0.3502418024470977, 0.4138215072897666, 0.1893406595434129, 0.2468731033061993, 0.3547497144399428, 0.448653082490166, 0.620219754072244, 0.2689542061537197, 0.3996209734343624, 0.4251288863796637, 0.4643024764340757, 0.2920901632554513, 0.4504750120803339, 0.2929803190772736, 0.4615272044812897, 0.4248394815447755, 0.2910091126492191, 0.1050823535749556, 0.7003655052830468, 0.4922071627205727, 0.0069584175260004, 0.4531879112129663, 0.4823677412884952, 0.2452208328813686, 0.4645590775426773, 0.3625203188233445, 0.5276932694464073, 0.4443016457238061, 0.4733312997922466, 0.4235392072621605, 0.5136618040758283, 0.3918665117995912, 0.642146138331638, 0.4408981229385635, 0.4369465740661972, 0.1367776392992957, 0.3486002836668835, 0.1382148251935475, 0.3760256849106978, 0.4910881999108398, 0.4669051822838804, 0.5474183960856367, 0.6751249288688758, 0.4267901914599381, 0.4107472066976088, 0.3307107081545699, 0.4124358448715503, 0.3409520297476154, 0.4717475126134223, 0.4285563228161331, 0.2568750106074506, 0.3002295284432482, 0.2587582074398599, 0.6176016100946161, 0.3697599965702835, 0.5440109031387222]"
4,HINT,"[0.336909859456308, 0.4067852346327789, 0.2948168860549024, 0.4052165502441777, 0.4041818098178885, 0.3031070129433841, 0.309661698573073, 0.3674014472929212, 0.6473677816364308, 0.4808487789301027, 0.3851366953749416, 0.3380629194257672, 0.2316210410946778, 0.5051472370366012, 0.3697672291079479, 0.3063644982586243, 0.4156116382299458, 0.3994375782732475, 0.2855767668037009, 0.4223358195220681, 0.1332593261516436, 0.396782552435957, 0.4753502260146812, 0.0778037714989822, 0.3526015801489861, 0.2413793218994651, 0.2785327969477126, 0.3004626476457849, 0.2697938967683204, 0.2787984358142617, 0.0459172190096846, 0.255912358990256, 0.3044021107091845, 0.2684111198041911, 0.305943972123415, 0.3891459298104171, 0.3720472183851606, 0.3924809219128439, 0.20690270025605, 0.4521632065337409, 0.275379612396446, 0.3986488612166274, 0.1822559511269154, 0.1340320017931486, 0.3394435789364264, 0.2245261054597616, 0.4736057034131397, 0.1307436733106879, 0.2948648088984041, 0.2712907227908017, 0.3176672136596498, 0.2502117089691885, 0.2045372250442588, 0.3395748377726918, 0.2757401391837697, 0.2912226567664661, 0.3057121035029491, 0.3661593214679552, 0.5124664800594684, 0.3064359095252232, 0.2894967805761065, 0.3879012665106746, 0.4510794922919198, 0.2538362555845523, 0.3084166242243131, 0.2581229067462007, 0.4952535993458252, 0.3126909139108875, 0.2614881065328737, 0.5163651862233106, 0.3574720154179337, 0.2925886705909463, 0.3800995003690848, 0.4411224328580083, 0.4826836031559713, 0.2039805529923211, 0.3369090448142413, 0.5027211915744512, 0.0013403048511044, 0.259322651961559, 0.3921684028257977, 0.4559797946833459, 0.5587617944387075, 0.7005351042061866, 0.2769488936357546, 0.1096054106007822, 0.3440916710245194, 0.3368363550596031, 0.3130357562959773, 0.3001622998333893, 0.278133897453276, 0.4889613521841158, 0.1942070076770823, 0.3345264438579501, 0.4286672564194437, 0.1224281586684084]","[0.6045509075185589, 0.378529383822781, 0.3299649676281787, 0.4761824870958866, 0.4024045274921817, 0.391301130539385, 0.2596296059150657, 0.324907733922879, 0.3795656697109275, 0.459333403960949, 0.5877345774048538, 0.2086605523534278, 0.2669122900988845, 0.5639883453554602, 0.4466659772719384, 0.4223790167580231, 0.3678520403240263, 0.2709950466457036, 0.4586319731659605, 0.5098064845376318, 0.2898258331185658, 0.2521009287130829, 0.5529468228241774, 0.3691183189843814, 0.7323668233561627, 0.4159279818852764, 0.2607946008080827, 0.3395211176518927, 0.3692028037139495, 0.2717740515816151, 0.3450435926985498, 0.231281240349427, 0.3686742338329903, 0.4885065332171397, 0.1594253379008468, 0.4209711057686451, 0.3965183777880521, 0.3322232516405619, 0.471541753364414, 0.4117511593126928, 0.358739074250081, 0.3891718173779351, 0.2919092963773068, 0.2509171884755046, 0.3738589766633247, 0.1782931750351612, 0.3749861309020575, 0.1818672874099429, 0.4825357277929687, 0.4763415035029506, 0.3370836841523988, 0.4543356031925998, 0.2755776363094378, 0.3070554932263118, 0.1456671602109515, 0.265708419616904, 0.3303589608941182, 0.4860953785870442, 0.414000006583976, 0.2003415621553892, 0.5361940997788575, 0.3547588715129603, 0.3380767180889094, 0.3909708335963645, 0.1845713049830094, 0.0008191752599288, 0.3067747702534604, 0.3221048841806618, 0.6397166156127978, 0.4138578674877133, 0.4360573791054279, 0.4622857649050957, 0.3375518298794934, 0.2391816619595492, 0.3130119425093842, 0.4334843954023609, 0.701634606916196, 0.4623644898803552, 0.2077515090092694, 0.355636622139725, 0.5170058162936116, 0.4186755798814972, 0.6129850544662306, 0.5367704767746015, 0.3925667520121855, 0.2946257416429439, 0.4411606364980895, 0.4995646772895716, 0.4005970122556419, 0.187163457981312, 0.2935173068592354, 0.5959156115798557, 0.5184077648968961, 0.2130088696430296, 0.7037701090567776, 0.2924477187449287]"
5,RoBERTa,"[0.4072110679550673, 0.460405448947802, 0.3139210405638165, 0.3525061733486768, 0.6440084678221186, 0.4054356644437237, 0.1865997193836173, 0.4126778385378212, 0.355744254216001, 0.6930338207619272, 0.4817234891863705, 0.2869996578661219, 0.3806651168397564, 0.40832338313251, 0.4810385771250434, 0.4489082729095054, 0.6535377660567323, 0.3935911330627991, 0.3257900546008437, 0.4385501352906131, 0.2415570788809048, 0.4536919461051819, 0.6057896225456485, 0.0898773771868206, 0.7163525226850983, 0.4220131800156979, 0.2612389080306391, 0.4326571118418961, 0.4303051504584498, 0.4775146565335436, 0.0857411608946058, 0.3728825674788003, 0.5158321931517965, 0.5706035957396505, 0.3299558878716244, 0.3383301935195508, 0.2891890707707754, 0.4113494886610645, 0.6244501695781051, 0.3546610866459202, 0.3634869481963385, 0.402702833872985, 0.1435000422995638, 0.3951733915507804, 0.4274798637400654, 0.2957574735690478, 0.4342678607256583, 0.1948663526963127, 0.467391039297541, 0.1698546498378997, 0.5033177705396055, 0.4253987597505737, 0.4795356191321933, 0.4608942954108925, 0.362474051768858, 0.2574131216851514, 0.3457686217367768, 0.5834757830863914, 0.4950950991137445, 0.3730434496976892, 0.4331251167847809, 0.603879472218878, 0.4456945637922324, 0.1039200332531276, 0.4225296436844589, 0.4167327441667529, 0.5470855766811394, 0.3101138090601537, 0.4692470384514058, 0.4653314660490787, 0.3848243888019154, 0.3241259845400117, 0.4963007944580687, 0.5001615851021516, 0.5463068940183392, 0.4527695129319514, 0.4789522655853457, 0.3378071199098417, 0.2897338348706433, 0.4173921039666904, 0.4645926561500423, 0.3615047555869889, 0.7000512768442968, 0.5332928860359653, 0.2547363242756206, 0.4332437210048023, 0.4967616781255203, 0.4499286778660551, 0.4390613826614393, 0.4350130478563819, 0.2191357733726404, 0.3034654626414385, 0.0059495192078682, 0.411578066261246, 0.7149612852193095, 0.5076131110152693]","[0.3243284027642959, 0.3645263710330882, 0.2245745433391464, 0.318433944517506, 0.2804037163036283, 0.2046280094828472, 0.3334546763730487, 0.2829556728407228, 0.3871833435233573, 0.4069209424253908, 0.195167606019262, 0.1575509847903088, 0.4781519520252388, 0.2516419210193197, 0.359548293715809, 0.5730796270380187, 0.6025127818738717, 0.2188798355214787, 0.2479216052167908, 0.3934155911923646, 0.215765594502814, 0.3887003314118816, 0.3156142966211622, 0.2076153739961522, 0.6907252001933063, 0.5488417216732009, 0.2232422287502385, 0.2669203384679302, 0.3420971365737894, 0.0976333844053886, 0.1364472177343396, 0.4259534456995633, 0.4604237827017985, 0.4868133143070616, 0.2080513531421592, 0.3198497589509988, 0.2148962740998692, 0.2877048263702858, 0.707618208437718, 0.2784892888486371, 0.2849694347330738, 0.3037152991070121, 0.000830560687692, 0.3022960789457254, 0.2287962937135825, 0.2013783908551979, 0.5289859697290036, 0.1716284100021298, 0.3783242029164759, 0.3589677147941089, 0.468924161122015, 0.164266982630994, 0.5835141111205716, 0.3992640526454694, 0.2627406137052931, 0.1655111571685082, 0.3220078844129048, 0.3722178594905838, 0.4418191544691686, 0.3978719804493447, 0.3928370635932479, 0.4257388089748535, 0.2905178220945427, 0.2771278487715931, 0.4013385986998445, 0.2561989260942597, 0.4541650611396641, 0.329877150554567, 0.5248395220442128, 0.2998047704842106, 0.2532274341483991, 0.4127428716515539, 0.5386738769610808, 0.3144163211458177, 0.3278603102115289, 0.290493785842362, 0.1682359297477834, 0.3281216186116023, 0.1882367312255641, 0.2522037139423893, 0.4678998402656706, 0.3452678035265774, 0.357892211984879, 0.1839837917944458, 0.3708047551227214, 0.1768373038757061, 0.5880887025050815, 0.432264497031128, 0.50811555961704, 0.2547167415058256, 0.1763920182762626, 0.123113642253337, 0.2159722911476139, 0.1982068370889082, 0.5419242040906112, 0.5864859568194584]"
6,TDVAE,"[0.4841731894581261, 0.5282498984988411, 0.5804031608619589, 0.5258384241553451, 0.6622571841830072, 0.0363063763346727, 0.3009592623981565, 0.6052550952318357, 0.5531925013753985, 0.6115962239197555, 0.3677411953377614, 0.3435727333877962, 0.2337553770408686, 0.3355365620614232, 0.5845571502578368, 0.4254621261482616, 0.5333671021249576, 0.3948226752116522, 0.6041540947619646, 0.3659821530576853, 0.2042118176628512, 0.3474230728712544, 0.5419462252295569, 0.2077293458147148, 0.665222818707593, 0.318581134666502, 0.5149798906188571, 0.029876059138325, 0.6755081654392016, 0.507188029010377, 0.5060736075749537, 0.3775314042081605, 0.5403372952653788, 0.5010689272698814, 0.5028891408311439, 0.5886409274472265, 0.3123715838021699, 0.2767055373784923, 0.7196939840330685, 0.2256373634088679, 0.4152236747329046, 0.254210422497012, 0.3067606082676289, 0.2287082469148473, 0.587365302602205, 0.1928643646617644, 0.48819409708167, 0.231427841583705, 0.642801724870059, 0.5970588687032312, 0.6264479629335298, 0.3458537464297894, 0.609077106571021, 0.5641392443819641, 0.2844364897233015, 0.5619993114067339, 0.2737512495197415, 0.6393224836061372, 0.4360487998624082, 0.10873895522248, 0.5149214050394747, 0.6537214737923097, 0.6094945055146648, 0.2185060953464962, 0.553604122852615, 0.6004787898164231, 0.5886678140277262, 0.1330301083482792, 0.5723633788285527, 0.5587657346625831, 0.3746681310575989, 0.3960248158945501, 0.4710159200903464, 0.547117345869107, 0.585129686570704, 0.2334524269759343, 0.3848211829814056, 0.3420285710856887, 0.3403169589204588, 0.4591687055764873, 0.5332553781578621, 0.4782417881104727, 0.4694706038906319, 0.4523114223212293, 0.4662487910910027, 0.6160902514684397, 0.708454041908656, 0.4747087668225311, 0.3562907076636624, 0.524924962512546, 0.1968461110903983, 0.3710860248824769, 0.1754864211936609, 0.521437976670079, 0.7103502911871634, 0.0007244274776072]","[0.2005182500143188, 0.415385419227286, 0.4226381868166993, 0.5815877154851332, 0.2463135519245407, 0.0963033508132356, 0.2041967656255429, 0.4893135467194575, 0.441491175064486, 0.1968235248736168, 0.1141773336831139, 0.3317157293193444, 0.501101810196201, 0.3128255546261754, 0.2921610923571591, 0.6499901797331418, 0.5281959250691658, 0.2693872033796881, 0.569925953100039, 0.2855543891727659, 0.3382371925829093, 0.518462419522665, 0.3128404463034941, 0.4871506440634108, 0.7353237011439685, 0.5203070163785515, 0.2659001413462801, 0.2127513484927432, 0.6074297261486933, 0.1844557865787972, 0.4555087843088916, 0.4036953523370624, 0.5665684019934636, 0.5035444144038855, 0.5013408875108851, 0.501806160674828, 0.4413131319161666, 0.4315069245369589, 0.7835661853389356, 0.0002156479768692, 0.4042286236632317, 0.2947017958250891, 0.3752148097823236, 0.3873636608256823, 0.3050938743058494, 0.4521374455206625, 0.5256308993047455, 0.2077079278267715, 0.4691446330723617, 0.7456008234318803, 0.6284735509687908, 0.2321967525340011, 0.6794773754799036, 0.5131841833739728, 0.2256457327170964, 0.3851535141888293, 0.3172023412895859, 0.2330284280496836, 0.4390872264351829, 0.3516634317512663, 0.3814111525921519, 0.657506446634601, 0.5135211717231665, 0.4873099223542389, 0.4109996998899637, 0.3349379315629092, 0.5380050304333253, 0.413088844748216, 0.6805123533435887, 0.4118692624313098, 0.4361057206614767, 0.2591837166533399, 0.3231955725659076, 0.2668449079973405, 0.4776560534311471, 0.0369809285142327, 0.2761735844473854, 0.2138150956003308, 0.234378747739704, 0.4488331240527378, 0.3413717125787749, 0.5665934915917494, 0.2836933152240432, 0.3707811288850269, 0.5249598266067644, 0.5187829474812754, 0.690597179310084, 0.2010589456584987, 0.3370569762920927, 0.4855202238644776, 0.4224853090620107, 0.246763858289653, 0.2484040087731877, 0.4117845487491058, 0.5704709114271174, 0.3200911331156758]"
